Pillar,Dimension,Indicator,Size,Info
Pillar 3: Data Products,Dimension 3.1: Social Statistics,Indicator 3.1.3: GOAL 3: Good Health and Well-being,1,"Indicator ID: SPI.D3.1.HLTH
Scoring: Fraction of Indicators in Goal 3 with value produced by countries statistical system
Abbreviation: HLTH
SDG Goal 3 data availability.  Source: UN Global SDG Indicators Database"
Pillar 3: Data Products,Dimension 3.1: Social Statistics,Indicator 3.1.2: GOAL 2: Zero Hunger,1,"Indicator ID: SPI.D3.1.HNGR
Scoring: Fraction of Indicators in Goal 2 with value produced by countries statistical system
Abbreviation: HNGR
SDG Goal 2 data availability.  Source: UN Global SDG Indicators Database"
Pillar 3: Data Products,Dimension 3.1: Social Statistics,Indicator 3.1.1: GOAL 1: No Poverty,1,"Indicator ID: SPI.D3.1.POV
Scoring: Fraction of Indicators in Goal 1 with value produced by countries statistical system
Abbreviation: POV
SDG Goal 1 data availability.  Source: UN Global SDG Indicators Database"
Pillar 3: Data Products,Dimension 3.1: Social Statistics,Indicator 3.1.6: GOAL 6: Clean Water and Sanitation,1,"Indicator ID: SPI.D3.1.WTRS
Scoring: Fraction of Indicators in Goal 6 with value produced by countries statistical system
Abbreviation: WTRS
SDG Goal 6 data availability.  Source: UN Global SDG Indicators Database"
Pillar 3: Data Products,Dimension 3.2: Economic Statistics,Indicator 3.2.5: GOAL 11: Sustainable Cities and Communities,1,"Indicator ID: SPI.D3.2.CITY
Scoring: Fraction of Indicators in Goal 11 with value produced by countries statistical system
Abbreviation: CITY
SDG Goal 11 data availability.  Source: UN Global SDG Indicators Database"
Pillar 3: Data Products,Dimension 3.2: Economic Statistics,Indicator 3.2.6: GOAL 12: Responsible Consumption and Production,1,"Indicator ID: SPI.D3.2.CNSP
Scoring: Fraction of Indicators in Goal 12 with value produced by countries statistical system
Abbreviation: CNSP
SDG Goal 12 data availability.  Source: UN Global SDG Indicators Database"
Pillar 3: Data Products,Dimension 3.2: Economic Statistics,Indicator 3.2.1: GOAL 7: Affordable and Clean Energy,1,"Indicator ID: SPI.D3.2.ENRG
Scoring: Fraction of Indicators in Goal 7 with value produced by countries statistical system
Abbreviation: ENRG
SDG Goal 7 data availability.  Source: UN Global SDG Indicators Database"
Pillar 3: Data Products,Dimension 3.2: Economic Statistics,"Indicator 3.2.3: GOAL 9: Industry, Innovation and Infrastructure",1,"Indicator ID: SPI.D3.2.INDY
Scoring: Fraction of Indicators in Goal 9 with value produced by countries statistical system
Abbreviation: INDY
SDG Goal 9 data availability.  Source: UN Global SDG Indicators Database"
Pillar 3: Data Products,Dimension 3.2: Economic Statistics,Indicator 3.2.4: GOAL 10: Reduced Inequality,1,"Indicator ID: SPI.D3.2.NEQL
Scoring: Fraction of Indicators in Goal 10 with value produced by countries statistical system
Abbreviation: NEQL
SDG Goal 10 data availability.  Source: UN Global SDG Indicators Database"
Pillar 3: Data Products,Dimension 3.2: Economic Statistics,Indicator 3.2.2: GOAL 8: Decent Work and Economic Growth,1,"Indicator ID: SPI.D3.2.WORK
Scoring: Fraction of Indicators in Goal 8 with value produced by countries statistical system
Abbreviation: WORK
SDG Goal 8 data availability.  Source: UN Global SDG Indicators Database"
